3.053,2.3837,0
2.8221,3.5082,1
4.7725,3.0307,0
0.4912,3.5259,0
2.5434,3.3338,1
5.4304,4.4784,0
2.5285,2.9589,0
2.4397,3.1793,1
1.7735,4.1011,0
3.793,5.084,0
0.89006,2.1455,0
2.2006,5.7998,0
3.567,3.1216,0
2.9986,4.6477,1
3.6239,5.0496,0
3.1264,5.3231,0
3.6809,3.4826,1
1.7126,4.0243,0
3.2181,3.8376,1
1.4334,3.3943,0
3.7833,4.2717,1
2.6894,4.3586,1
3.6553,3.6477,1
2.4625,4.1324,1
3.3286,6.6736,0
4.0541,3.9924,0
1.0203,4.7103,0
1.1326,3.5375,0
1.1676,3.4721,0
3.8486,3.6542,1
3.4052,4.5646,1
2.2975,3.1985,0
4.499,2.1471,0
3.1378,4.0532,1
1.4132,3.5636,0
1.9809,4.28,0
1.6148,4.0846,0
3.9549,4.7291,0
2.3989,4.9008,0
1.8281,2.6744,0
2.4229,2.4754,0
2.1636,4.5024,1
3.853,4.3064,1
3.4773,3.0608,0
3.3023,5.2374,0
3.4158,4.033,1
3.043,4.1236,1
2.0511,4.2739,1
3.5416,4.7542,1
2.1789,5.5245,0
1.9281,3.738,0
1.9259,2.2693,0
3.8696,5.0135,0
3.9811,3.0723,0
1.2412,5.2437,0
2.8519,3.4105,1
3.2519,5.4915,0
2.3896,3.194,0
3.761,2.8874,0
3.2544,4.9569,1
2.8472,2.6369,0
2.4426,4.6806,1
3.677,4.4378,1
3.8493,3.8567,1
3.4693,3.6585,1
2.7602,6.0578,0
3.921,3.6255,1
2.0931,3.8098,1
3.1444,3.0613,1
4.3964,3.1865,0
2.8103,3.4164,1
2.1562,5.7095,0
4.9434,3.6096,0
2.7531,3.3099,1
3.4416,3.5518,1
2.1964,4.7144,0
3.2876,2.6843,0
3.467,4.6271,1
3.0046,2.6687,0
3.3261,3.8692,1
4.2046,2.1731,0
1.5959,4.5359,0
3.2056,4.6929,1
1.0088,3.3125,0
3.0284,4.3176,1
4.9305,4.1628,0
3.9411,5.1591,0
2.9931,4.1284,1
2.6618,5.0395,0
3.5283,3.8832,1
4.0569,3.3517,0
3.0147,3.962,1
4.6148,3.8007,0
2.1841,4.8817,0
1.0022,3.9439,0
2.2518,3.1588,0
2.8007,3.8452,1
2.6272,5.1886,0
2.1526,3.5851,1
4.3372,3.3414,0
